Date,nom_station,Precipitation,Solar.Panel,Solar.radiation,Wind.gust,Dew.Point,HC.Relative.humidity,HC.Air.temperature,Battery,VPD,DeltaT,U.sonic.wind.speed,U.sonic.wind.dir
2024-12-14T11:00:00Z,kef,0.2,10319,546,5.1,9.75,62.26,18.316666666666663,6878,7.1,4,3.3,273
2024-12-14T12:00:00Z,kef,0,10305,491,5.1,8.6,53.486666666666665,18.726666666666667,6875,9.65,5.333333333333333,3.4000000000000004,267
2024-12-14T13:00:00Z,kef,0,10242,391,5.5,10.55,62.53333333333333,18.603333333333335,6870,7.4,4.333333333333333,3.7,268
2024-12-14T14:00:00Z,kef,0,9979,227,6,11.9,71.98666666666666,17.636666666666667,6870,5.050000000000001,3,4.050000000000001,250
2024-12-14T15:00:00Z,kef,0,2593,84,5.2,12.35,77.99666666666667,16.456666666666667,6824,3.7,2.3333333333333335,3.3,250
2024-12-14T16:00:00Z,kef,0,0,0,3.4,12.95,85.76,15.43,6647,2.25,1.3333333333333333,2.05,243
2024-12-14T17:00:00Z,kef,0,0,0,3.1,12.5,88.55333333333333,14.7,6588,1.7000000000000002,1,2,239
2024-12-14T18:00:00Z,kef,0,0,0,4.2,11.95,86.17333333333333,14.42,6576,2.15,1,2.1500000000000004,259
2024-12-14T19:00:00Z,kef,0,0,0,2.8,12.1,88.62333333333333,14.076666666666666,6568,1.5,1,1.5,202
2024-12-14T20:00:00Z,kef,0,0,0,1.6,12.15,90.72,13.776666666666667,6571,1.25,1,0.85,168
2024-12-14T21:00:00Z,kef,0,0,0,1.5,12.15,92.39333333333332,13.473333333333334,6565,1.05,1,0.85,208
2024-12-14T22:00:00Z,kef,0,0,0,2.4,11.9,93.28666666666666,13.156666666666666,6556,0.9,0.6666666666666666,1.05,164
2024-12-14T23:00:00Z,kef,0,0,0,3,11.95,92.40666666666668,13.343333333333334,6553,0.95,0.6666666666666666,1.3,213
2024-12-15T01:00:00Z,kef,0,0,0,4,11.3,87.19,13.543333333333331,6551,1.85,1,2.15,238
2024-12-15T02:00:00Z,kef,4,0,0,4.4,11.85,93.36,13.106666666666667,6536,0.55,0.3333333333333333,2.45,243
2024-12-15T03:00:00Z,kef,1,0,0,5.3,11.9,96.12,12.623333333333331,6525,0.45,0,2.7,207
2024-12-15T04:00:00Z,kef,2,0,0,4.6,11.6,95.44,12.603333333333332,6516,0.4,0.3333333333333333,2.25,217
2024-12-15T05:00:00Z,kef,0.6,0,0,2.4,11.35,98.08666666666666,11.81,6502,0.1,0,1.1,248
2024-12-15T06:00:00Z,kef,1.6,3278,0,3.4,11.4,99.27333333333333,11.61,6494,0.05,0,1.65,212
2024-12-15T07:00:00Z,kef,0,6839,29,2.1,11.45,97.84666666666666,11.89,6616,0.2,0,1.15,264
2024-12-15T08:00:00Z,kef,0,10218,310,2.5,11.7,91.07333333333334,13.36,6872,0.75,1,1.25,209
2024-12-15T09:00:00Z,kef,1.2,7084,148,7.5,10.45,84.15666666666667,13.5,6841,1.7000000000000002,1.6666666666666667,3.85,249
2024-12-15T10:00:00Z,kef,0.2,9797,522,5.7,10.15,82.03666666666666,13.48,6867,2.0999999999999996,2,2.5,274
2024-12-15T11:00:00Z,kef,1.6,7069,52,7.8,10.15,91.97,12.156666666666666,6830,0.8500000000000001,0.6666666666666666,2.95,168
2024-12-15T12:00:00Z,kef,2.2,10098,169,3.9,11.5,91.66666666666669,13.016666666666666,6872,0.8500000000000001,0.6666666666666666,2.3,252
2024-12-15T13:00:00Z,kef,0.2,9993,197,6.8,10.75,85.21666666666667,13.813333333333334,6870,1.85,1.3333333333333333,3.8,266
2024-12-15T14:00:00Z,kef,0,9825,235,5.2,9.8,78.52666666666667,13.75,6867,3.05,2,3.5,286
2024-12-15T15:00:00Z,kef,0,2621,60,5.7,8.95,73.62333333333333,13.903333333333332,6787,3.85,2.6666666666666665,3.3,286
2024-12-15T16:00:00Z,kef,0,0,0,5.6,7.449999999999999,70.44666666666667,13.33,6639,4,3,2.9000000000000004,277
2024-12-15T17:00:00Z,kef,0,0,0,5.5,7.1,70.28999999999999,12.863333333333332,6602,4.050000000000001,2.6666666666666665,2.8,299
2024-12-15T18:00:00Z,kef,0,0,0,6.2,6.3,65.13333333333334,13.093333333333334,6588,4.9,3.3333333333333335,3.7,287
2024-12-15T19:00:00Z,kef,1.2,0,0,7.4,7.95,79.24333333333334,12.283333333333331,6582,2.05,2,4.3,302
2024-12-15T20:00:00Z,kef,0,0,0,4.3,8.399999999999999,77.28999999999999,12.43,6565,3.05,2,2.2,298
2024-12-15T21:00:00Z,kef,0,0,0,2.9,8.600000000000001,78.86666666666666,12.466666666666669,6559,2.65,2,1.25,291
2024-12-15T22:00:00Z,kef,0,0,0,5.7,9.5,79.41,13.02,6556,3,2,3.4,285
2025-07-26T01:00:00Z,jendouba,0,0,0,2.7,17.04,85.73,21.56,6514,3.6,2,0.9,342
2025-07-26T01:00:00Z,mahdia,0,0,0,3.3,20.61,63.63,28.17,6481,13.9,5,1.4,4
2025-07-26T01:00:00Z,nabeul,0,0,0,3,18.6,65.89,25.51,6459,11.1,5,1.2,183
2025-07-26T02:00:00Z,jendouba,0,0,0,4,17.04,85.73,21.56,6505,3.6,2,1.8,222
2025-07-26T02:00:00Z,mahdia,0,0,0,2.9,21.47,67.32,28.1,6475,12.4,5,1,338
2025-07-26T02:00:00Z,nabeul,0,0,0,3,17.6,61.85,25.57,6459,12.4,5,1.2,183
2025-07-26T03:00:00Z,jendouba,0,0,0,3.2,17.04,85.73,21.56,6499,3.6,2,1.4,196
2025-07-26T03:00:00Z,mahdia,0,0,0,1.6,21.5,68.31,27.88,6470,11.9,4,0.7,335
2025-07-26T03:00:00Z,nabeul,0,0,0,3,17.7,59.8,26.21,6454,13.6,6,1.2,183
2025-07-26T04:00:00Z,jendouba,0,0,0,16.5,17.04,85.73,21.56,6502,3.6,2,3.1,147
2025-07-26T04:00:00Z,mahdia,0,0,0,1.8,21.92,71.94,27.44,6466,10.3,4,0.6,43
2025-07-26T04:00:00Z,nabeul,0,0,0,3,20.1,71.48,25.7,6454,9.3,4,1.2,183
2025-07-26T05:00:00Z,jendouba,0,3173,2,20.3,17.04,85.73,21.56,6505,3.6,2,3.7,269
2025-07-26T05:00:00Z,mahdia,0,6677,2,2.2,22.81,76.56,27.3,6470,8.5,3,0.7,357
2025-07-26T05:00:00Z,nabeul,0,972,0,3,20.4,74.35,25.34,6454,8.2,3,1.2,183
2025-07-26T06:00:00Z,jendouba,0,6993,89,1.2,17.04,85.73,21.56,6710,3.6,2,0.4,20
2025-07-26T06:00:00Z,mahdia,0,6787,45,2.9,23.59,78.19,27.76,6537,8.1,3,1.2,348
2025-07-26T06:00:00Z,nabeul,0,6183,41,3,19.5,70.05,25.39,6499,9.6,4,1.2,183
2025-07-26T07:00:00Z,jendouba,0,9523,245,2.6,17.04,85.73,21.56,6804,3.6,2,1,147
2025-07-26T07:00:00Z,mahdia,0,6957,98,3.4,22.65,74.51,27.59,6680,9.4,4,1.5,334
2025-07-26T07:00:00Z,nabeul,0,6911,196,3,19.4,68.31,25.79,6713,10.5,4,1.2,183
2025-07-26T08:00:00Z,jendouba,0,9782,369,3.3,17.04,85.73,21.56,6804,3.6,2,1.7,209
2025-07-26T08:00:00Z,mahdia,0,7130,371,4.2,22,68.01,28.53,6838,12.5,5,1.7,328
2025-07-26T08:00:00Z,nabeul,0,9993,442,3,19.2,63.19,26.86,6781,13,5,1.2,183
2025-07-26T09:00:00Z,jendouba,0,9892,515,5.3,17.04,85.73,21.56,6807,3.6,2,2.1,352
2025-07-26T09:00:00Z,mahdia,0,9904,532,4.1,20.87,59.67,29.54,6884,16.7,6,2.1,335
2025-07-26T09:00:00Z,nabeul,0,10041,664,3,18.1,55.57,27.85,6776,16.6,6,1.2,183
2025-07-26T10:00:00Z,jendouba,0,10012,795,7.3,17.04,85.73,21.56,6807,3.6,2,2.6,325
2025-07-26T10:00:00Z,mahdia,0,10349,774,4,21.2,57.15,30.66,6891,18.9,7,1.9,335
2025-07-26T10:00:00Z,nabeul,0,10084,820,3,17.3,49.95,28.83,6781,19.8,8,1.2,183
