Date,nom_station,Solar.radiation,Solar.Panel,Precipitation,Battery,HC.Air.temperature,HC.Relative.humidity,Dew.Point,VPD,DeltaT,U.sonic.wind.speed,U.sonic.wind.dir,Wind.gust
2024-12-14T11:00:00Z,fc,546,10319,0.2,6878,18.316666666666663,62.26,9.75,7.1,4,3.3,273,5.1
2024-12-14T12:00:00Z,fc,491,10305,0,6875,18.726666666666667,53.486666666666665,8.6,9.65,5.333333333333333,3.4000000000000004,267,5.1
2024-12-14T13:00:00Z,fc,391,10242,0,6870,18.603333333333335,62.53333333333333,10.55,7.4,4.333333333333333,3.7,268,5.5
2024-12-14T14:00:00Z,fc,227,9979,0,6870,17.636666666666667,71.98666666666666,11.9,5.050000000000001,3,4.050000000000001,250,6
2024-12-14T15:00:00Z,fc,84,2593,0,6824,16.456666666666667,77.99666666666667,12.35,3.7,2.3333333333333335,3.3,250,5.2
2024-12-14T16:00:00Z,fc,0,0,0,6647,15.43,85.76,12.95,2.25,1.3333333333333333,2.05,243,3.4
2024-12-14T17:00:00Z,fc,0,0,0,6588,14.7,88.55333333333333,12.5,1.7000000000000002,1,2,239,3.1
2024-12-14T18:00:00Z,fc,0,0,0,6576,14.42,86.17333333333333,11.95,2.15,1,2.1500000000000004,259,4.2
2024-12-14T19:00:00Z,fc,0,0,0,6568,14.076666666666666,88.62333333333333,12.1,1.5,1,1.5,202,2.8
2024-12-14T20:00:00Z,fc,0,0,0,6571,13.776666666666667,90.72,12.15,1.25,1,0.85,168,1.6
2024-12-14T21:00:00Z,fc,0,0,0,6565,13.473333333333334,92.39333333333332,12.15,1.05,1,0.85,208,1.5
2024-12-14T22:00:00Z,fc,0,0,0,6556,13.156666666666666,93.28666666666666,11.9,0.9,0.6666666666666666,1.05,164,2.4
2024-12-14T23:00:00Z,fc,0,0,0,6553,13.343333333333334,92.40666666666668,11.95,0.95,0.6666666666666666,1.3,213,3
2024-12-15T01:00:00Z,fc,0,0,0,6551,13.543333333333331,87.19,11.3,1.85,1,2.15,238,4
2024-12-15T02:00:00Z,fc,0,0,4,6536,13.106666666666667,93.36,11.85,0.55,0.3333333333333333,2.45,243,4.4
2024-12-15T03:00:00Z,fc,0,0,1,6525,12.623333333333331,96.12,11.9,0.45,0,2.7,207,5.3
2024-12-15T04:00:00Z,fc,0,0,2,6516,12.603333333333332,95.44,11.6,0.4,0.3333333333333333,2.25,217,4.6
2024-12-15T05:00:00Z,fc,0,0,0.6,6502,11.81,98.08666666666666,11.35,0.1,0,1.1,248,2.4
2024-12-15T06:00:00Z,fc,0,3278,1.6,6494,11.61,99.27333333333333,11.4,0.05,0,1.65,212,3.4
2024-12-15T07:00:00Z,fc,29,6839,0,6616,11.89,97.84666666666666,11.45,0.2,0,1.15,264,2.1
2024-12-15T08:00:00Z,fc,310,10218,0,6872,13.36,91.07333333333334,11.7,0.75,1,1.25,209,2.5
2024-12-15T09:00:00Z,fc,148,7084,1.2,6841,13.5,84.15666666666667,10.45,1.7000000000000002,1.6666666666666667,3.85,249,7.5
2024-12-15T10:00:00Z,fc,522,9797,0.2,6867,13.48,82.03666666666666,10.15,2.0999999999999996,2,2.5,274,5.7
2024-12-15T11:00:00Z,fc,52,7069,1.6,6830,12.156666666666666,91.97,10.15,0.8500000000000001,0.6666666666666666,2.95,168,7.8
2024-12-15T12:00:00Z,fc,169,10098,2.2,6872,13.016666666666666,91.66666666666669,11.5,0.8500000000000001,0.6666666666666666,2.3,252,3.9
2024-12-15T13:00:00Z,fc,197,9993,0.2,6870,13.813333333333334,85.21666666666667,10.75,1.85,1.3333333333333333,3.8,266,6.8
2024-12-15T14:00:00Z,fc,235,9825,0,6867,13.75,78.52666666666667,9.8,3.05,2,3.5,286,5.2
2024-12-15T15:00:00Z,fc,60,2621,0,6787,13.903333333333332,73.62333333333333,8.95,3.85,2.6666666666666665,3.3,286,5.7
2024-12-15T16:00:00Z,fc,0,0,0,6639,13.33,70.44666666666667,7.449999999999999,4,3,2.9000000000000004,277,5.6
2024-12-15T17:00:00Z,fc,0,0,0,6602,12.863333333333332,70.28999999999999,7.1,4.050000000000001,2.6666666666666665,2.8,299,5.5
2024-12-15T18:00:00Z,fc,0,0,0,6588,13.093333333333334,65.13333333333334,6.3,4.9,3.3333333333333335,3.7,287,6.2
2024-12-15T19:00:00Z,fc,0,0,1.2,6582,12.283333333333331,79.24333333333334,7.95,2.05,2,4.3,302,7.4
2024-12-15T20:00:00Z,fc,0,0,0,6565,12.43,77.28999999999999,8.399999999999999,3.05,2,2.2,298,4.3
2024-12-15T21:00:00Z,fc,0,0,0,6559,12.466666666666669,78.86666666666666,8.600000000000001,2.65,2,1.25,291,2.9
2024-12-15T22:00:00Z,fc,0,0,0,6556,13.02,79.41,9.5,3,2,3.4,285,5.7
2025-07-26T01:00:00Z,jendouba,0,0,0,6514,22.43,83.455,17.65,4.7,2,0.9,342,2.7
2025-07-26T01:00:00Z,mahdia,0,0,0,6481,28.17,63.63,20.61,13.9,5,1.4,4,3.3
2025-07-26T01:00:00Z,nabeul,0,0,0,6459,25.51,65.89,18.6,11.1,5,1.2,178,2.9
2025-07-26T02:00:00Z,jendouba,0,0,0,6505,22.43,83.455,17.65,4.7,2,1.8,222,4
2025-07-26T02:00:00Z,mahdia,0,0,0,6475,28.1,67.32,21.47,12.4,5,1,338,2.9
2025-07-26T02:00:00Z,nabeul,0,0,0,6459,25.57,61.85,17.6,12.4,5,1.2,178,2.9
2025-07-26T03:00:00Z,jendouba,0,0,0,6499,22.43,83.455,17.65,4.7,2,1.4,196,3.2
2025-07-26T03:00:00Z,mahdia,0,0,0,6470,27.88,68.31,21.5,11.9,4,0.7,335,1.6
2025-07-26T03:00:00Z,nabeul,0,0,0,6454,26.21,59.8,17.7,13.6,6,1.2,178,2.9
2025-07-26T04:00:00Z,jendouba,0,0,0,6502,22.43,83.455,17.65,4.7,2,3.1,147,16.5
2025-07-26T04:00:00Z,mahdia,0,0,0,6466,27.44,71.94,21.92,10.3,4,0.6,43,1.8
2025-07-26T04:00:00Z,nabeul,0,0,0,6454,25.7,71.48,20.1,9.3,4,1.2,178,2.9
2025-07-26T05:00:00Z,jendouba,2,3173,0,6505,22.43,83.455,17.65,4.7,2,3.7,269,20.3
2025-07-26T05:00:00Z,mahdia,2,6677,0,6470,27.3,76.56,22.81,8.5,3,0.7,357,2.2
2025-07-26T05:00:00Z,nabeul,0,972,0,6454,25.34,74.35,20.4,8.2,3,1.2,178,2.9
2025-07-26T06:00:00Z,jendouba,89,6993,0,6710,22.43,83.455,17.65,4.7,2,0.4,20,1.2
2025-07-26T06:00:00Z,mahdia,45,6787,0,6537,27.76,78.19,23.59,8.1,3,1.2,348,2.9
2025-07-26T06:00:00Z,nabeul,41,6183,0,6499,25.39,70.05,19.5,9.6,4,1.2,178,2.9
2025-07-26T07:00:00Z,jendouba,245,9523,0,6804,22.43,83.455,17.65,4.7,2,1,147,2.6
2025-07-26T07:00:00Z,mahdia,98,6957,0,6680,27.59,74.51,22.65,9.4,4,1.5,334,3.4
2025-07-26T07:00:00Z,nabeul,196,6911,0,6713,25.79,68.31,19.4,10.5,4,1.2,178,2.9
2025-07-26T08:00:00Z,jendouba,369,9782,0,6804,22.43,83.455,17.65,4.7,2,1.7,209,3.3
2025-07-26T08:00:00Z,mahdia,371,7130,0,6838,28.53,68.01,22,12.5,5,1.7,328,4.2
2025-07-26T08:00:00Z,nabeul,442,9993,0,6781,26.86,63.19,19.2,13,5,1.2,178,2.9
2025-07-26T09:00:00Z,jendouba,515,9892,0,6807,22.43,83.455,17.65,4.7,2,2.1,352,5.3
2025-07-26T09:00:00Z,mahdia,532,9904,0,6884,29.54,59.67,20.87,16.7,6,2.1,335,4.1
2025-07-26T09:00:00Z,nabeul,664,10041,0,6776,27.85,55.57,18.1,16.6,6,1.2,178,2.9
2025-07-26T10:00:00Z,jendouba,795,10012,0,6807,22.43,83.455,17.65,4.7,2,2.6,325,7.3
2025-07-26T10:00:00Z,mahdia,774,10349,0,6891,30.66,57.15,21.2,18.9,7,1.9,335,4
2025-07-26T10:00:00Z,nabeul,820,10084,0,6781,28.83,49.95,17.3,19.8,8,1.2,178,2.9
2025-07-26T11:00:00Z,jendouba,758,9902,0,6807,22.43,83.455,17.65,4.7,2,2.7,330,6.2
2025-07-26T11:00:00Z,mahdia,898,10313,0,6893,31.85,52.39,20.89,22.5,8,1.8,336,4.1
2025-07-26T11:00:00Z,nabeul,927,10094,0,6778,29.9,43.95,16.2,23.6,9,1.2,178,2.9
2025-07-26T12:00:00Z,jendouba,579,9998,0,6810,22.43,83.455,17.65,4.7,2,3.3,342,9.4
2025-07-26T12:00:00Z,mahdia,952,10388,0,6896,32.38,49.13,20.34,24.7,8,2.1,326,4.4
2025-07-26T12:00:00Z,nabeul,956,10094,0,6778,30.32,38.2,14.5,26.7,10,1.2,178,2.9
2025-07-26T13:00:00Z,jendouba,907,9950,0,6810,22.43,83.455,17.65,4.7,2,4,330,8.1
2025-07-26T13:00:00Z,mahdia,847,10286,0,6896,32.87,45.28,19.47,27.3,9,1.9,339,4.1
2025-07-26T13:00:00Z,nabeul,913,10084,0,6770,30.86,37.87,14.8,27.7,10,1.2,178,2.9
2025-07-26T14:00:00Z,jendouba,810,9820,0,6804,22.43,83.455,17.65,4.7,2,3.1,335,7.3
2025-07-26T14:00:00Z,mahdia,595,10357,0,6893,32.85,42.63,18.48,28.6,10,2.1,339,4.8
2025-07-26T14:00:00Z,nabeul,806,10070,0,6770,30.36,39.75,15.1,26.1,10,1.2,178,2.9
2025-07-26T15:00:00Z,jendouba,353,8991,0,6801,22.43,83.455,17.65,4.7,2,3.4,335,8.1
2025-07-26T15:00:00Z,mahdia,652,10108,0,6889,32.86,39.8,17.4,30,10,2.1,347,4.6
2025-07-26T15:00:00Z,nabeul,639,10007,0,6770,30,42.24,15.7,24.5,9,1.2,178,2.9
2025-07-26T16:00:00Z,jendouba,360,8929,0,6818,22.43,83.455,17.65,4.7,2,4.7,350,8.7
2025-07-26T16:00:00Z,mahdia,445,9758,0,6884,31.91,37.65,15.68,29.5,11,2.1,355,4.3
2025-07-26T16:00:00Z,nabeul,490,9936,0,6776,30.13,39.89,14.9,25.6,10,1.2,178,2.9
2025-07-26T17:00:00Z,jendouba,101,8009,0,6796,22.43,83.455,17.65,4.7,2,4.6,0,9.9
2025-07-26T17:00:00Z,mahdia,245,8706,0,6878,30.86,41.42,16.22,26.1,10,2,359,4.5
2025-07-26T17:00:00Z,nabeul,311,8900,0,6790,29.33,39.09,13.8,24.8,10,1.2,178,2.9
2025-07-26T18:00:00Z,jendouba,53,4730,0,6764,22.43,83.455,17.65,4.7,2,3.6,348,7.7
2025-07-26T18:00:00Z,mahdia,114,7083,0,6847,29.82,44.16,16.3,23.5,9,1.9,353,4.3
