Date,nom_station,Solar.radiation,Solar.Panel,Precipitation,Battery,HC.Serial.Number,HC.Air.temperature,HC.Relative.humidity,Dew.Point,VPD,DeltaT,Sunshine.duration,U.sonic.wind.speed,U.sonic.wind.dir,Wind.gust,U.sonic..wind.hardware.version,U.sonic..wind.firmware.version,U.sonic..wind.identifier.LSB,U.sonic..wind.identifier.middle,U.sonic..wind.identifier.MSB,EAG.Soil.moisture,Volumetric.Ionic.Content,Soil.temperature,KZ.Solar.radiation,Air.pressure,Drybulb.temperature
2024-12-14T11:00:00Z,fc,546,10319,0.2,6878,20734861,18.316666666666666,62.26,9.75,7.1,4,60,3.3,273,5.1,300,145,540292675,1261522965,2687065,52.18,2309.27,15.6,NA,NA,NA
2024-12-14T12:00:00Z,fc,491,10305,0,6875,20734861,18.726666666666667,53.486666666666665,8.6,9.65,5.333333333333333,60,3.4000000000000004,267,5.1,300,145,540292675,1261522965,2687065,52.17,2304.3273,15.6,NA,NA,NA
2024-12-14T13:00:00Z,fc,391,10242,0,6870,20734861,18.603333333333335,62.53333333333333,10.55,7.4,4.333333333333333,60,3.7,268,5.5,300,145,540292675,1261522965,2687065,52.17,2300.641,15.6,NA,NA,NA
2024-12-14T14:00:00Z,fc,227,9979,0,6870,20734861,17.636666666666667,71.98666666666666,11.9,5.050000000000001,3,60,4.050000000000001,250,6,300,145,540292675,1261522965,2687065,52.18,2296.1659,15.6,NA,NA,NA
2024-12-14T15:00:00Z,fc,84,2593,0,6824,20734861,16.456666666666667,77.99666666666667,12.35,3.6999999999999997,2.3333333333333335,15,3.3,250,5.2,300,145,540292675,1261522965,2687065,52.18,2292.1201,15.566666666666666,NA,NA,NA
2024-12-14T16:00:00Z,fc,0,0,0,6647,20734861,15.43,85.76,12.95,2.25,1.3333333333333333,0,2.05,243,3.4,300,145,540292675,1261522965,2687065,52.19,2290.9093,15.566666666666666,NA,NA,NA
2024-12-14T17:00:00Z,fc,0,0,0,6588,20734861,14.7,88.55333333333333,12.5,1.7000000000000002,1,0,2,239,3.1,300,145,540292675,1261522965,2687065,52.2,2289.295,15.533333333333333,NA,NA,NA
2024-12-14T18:00:00Z,fc,0,0,0,6576,20734861,14.42,86.17333333333333,11.95,2.15,1,0,2.1500000000000004,259,4.2,300,145,540292675,1261522965,2687065,52.2,2290.5078,15.533333333333333,NA,NA,NA
2024-12-14T19:00:00Z,fc,0,0,0,6568,20734861,14.076666666666666,88.62333333333333,12.1,1.5,1,0,1.5,202,2.8,300,145,540292675,1261522965,2687065,52.19,2291.7165,15.5,NA,NA,NA
2024-12-14T20:00:00Z,fc,0,0,0,6571,20734861,13.776666666666667,90.72,12.15,1.25,1,0,0.85,168,1.6,300,145,540292675,1261522965,2687065,52.2,2294.138,15.466666666666667,NA,NA,NA
2024-12-14T21:00:00Z,fc,0,0,0,6565,20734861,13.473333333333334,92.39333333333333,12.149999999999999,1.05,1,0,0.85,208,1.5,300,145,540292675,1261522965,2687065,52.19,2294.138,15.5,NA,NA,NA
2024-12-14T22:00:00Z,fc,0,0,0,6556,20734861,13.156666666666666,93.28666666666666,11.9,0.9,0.6666666666666666,0,1.05,164,2.4,300,145,540292675,1261522965,2687065,52.2,2294.138,15.466666666666667,NA,NA,NA
2024-12-14T23:00:00Z,fc,0,0,0,6553,20734861,13.343333333333334,92.40666666666667,11.95,0.9500000000000001,0.6666666666666666,0,1.3,213,3,300,145,540292675,1261522965,2687065,52.18,2294.138,15.5,NA,NA,NA
2024-12-15T00:00:00Z,fc,0,0,0,6553,20734861,13.55,89.65666666666667,11.75,1.5,1,0,1.85,228,2.9,300,145,540292675,1261522965,2687065,52.2,2292.5237,15.5,NA,NA,NA
2024-12-15T01:00:00Z,fc,0,0,0,6551,20734861,13.543333333333333,87.19,11.3,1.85,1,0,2.15,238,4,300,145,540292675,1261522965,2687065,52.19,2292.5237,15.5,NA,NA,NA
2024-12-15T02:00:00Z,fc,0,0,4,6536,20734861,13.106666666666667,93.36,11.85,0.55,0.3333333333333333,0,2.45,243,4.4,300,145,540292675,1261522965,2687065,52.19,2434.7975,15.5,NA,NA,NA
2024-12-15T03:00:00Z,fc,0,0,1,6525,20734861,12.623333333333333,96.12,11.9,0.45,0,0,2.7,207,5.3,300,145,540292675,1261522965,2687065,52.2,2471.8246,15.466666666666667,NA,NA,NA
2024-12-15T04:00:00Z,fc,0,0,2,6516,20734861,12.603333333333333,95.44,11.600000000000001,0.4,0.3333333333333333,0,2.25,217,4.6,300,145,540292675,1261522965,2687065,52.2,2453.6932,15.5,NA,NA,NA
2024-12-15T05:00:00Z,fc,0,0,0.6,6502,20734861,11.81,98.08666666666666,11.35,0.1,0,0,1.1,248,2.4,300,145,540292675,1261522965,2687065,52.19,2473.9669,15.5,NA,NA,NA
2024-12-15T06:00:00Z,fc,0,3278,1.6,6494,20734861,11.61,99.27333333333333,11.4,0.05,0,0,1.65,212,3.4,300,145,540292675,1261522965,2687065,52.19,2485.4703,15.466666666666667,NA,NA,NA
2024-12-15T07:00:00Z,fc,29,6839,0,6616,20734861,11.89,97.84666666666666,11.45,0.2,0,0,1.15,264,2.1,300,145,540292675,1261522965,2687065,52.19,2410.3562,15.5,NA,NA,NA
2024-12-15T08:00:00Z,fc,310,10218,0,6872,20734861,13.36,91.07333333333334,11.7,0.75,1,55,1.25,209,2.5,300,145,540292675,1261522965,2687065,52.19,2372.6899,15.5,NA,NA,NA
2024-12-15T09:00:00Z,fc,148,7084,1.2,6841,20734861,13.5,84.15666666666667,10.45,1.7000000000000002,1.6666666666666667,20,3.85,249,7.5,300,145,540292675,1261522965,2687065,52.19,2420.1834,15.533333333333333,NA,NA,NA
2024-12-15T10:00:00Z,fc,522,9797,0.2,6867,20734861,13.479999999999999,82.03666666666666,10.15,2.0999999999999996,2,55,2.5,274,5.7,300,145,540292675,1261522965,2687065,52.19,2384.8666,15.5,NA,NA,NA
2024-12-15T11:00:00Z,fc,52,7069,1.6,6830,20734861,12.156666666666666,91.97,10.149999999999999,0.8500000000000001,0.6666666666666666,5,2.95,168,7.8,300,145,540292675,1261522965,2687065,52.19,2450.9548,15.533333333333333,NA,NA,NA
2024-12-15T12:00:00Z,fc,169,10098,2.2,6872,20734861,13.016666666666666,91.66666666666667,11.5,0.8500000000000001,0.6666666666666666,30,2.3,252,3.9,300,145,540292675,1261522965,2687065,52.19,2436.1458,15.5,NA,NA,NA
2024-12-15T13:00:00Z,fc,197,9993,0.2,6870,20734861,13.813333333333334,85.21666666666667,10.75,1.8499999999999999,1.3333333333333333,40,3.8,266,6.8,300,145,540292675,1261522965,2687065,52.19,2391.6248,15.533333333333333,NA,NA,NA
2024-12-15T14:00:00Z,fc,235,9825,0,6867,20734861,13.75,78.52666666666667,9.8,3.05,2,55,3.5,286,5.2,300,145,540292675,1261522965,2687065,52.2,2363.8372,15.466666666666667,NA,NA,NA
2024-12-15T15:00:00Z,fc,60,2621,0,6787,20734861,13.903333333333332,73.62333333333333,8.95,3.8499999999999996,2.6666666666666665,15,3.3,286,5.7,300,145,540292675,1261522965,2687065,52.19,2350.0338,15.5,NA,NA,NA
2024-12-15T16:00:00Z,fc,0,0,0,6639,20734861,13.33,70.44666666666667,7.449999999999999,4,3,0,2.9000000000000004,277,5.6,300,145,540292675,1261522965,2687065,52.2,2344.3845,15.533333333333333,NA,NA,NA
2024-12-15T17:00:00Z,fc,0,0,0,6602,20734861,12.863333333333333,70.28999999999999,7.1,4.050000000000001,2.6666666666666665,0,2.8,299,5.5,300,145,540292675,1261522965,2687065,52.2,2340.928,15.533333333333333,NA,NA,NA
