Date,nom_station,Precipitation,Solar.Panel,Solar.radiation,Wind.gust,Dew.Point,HC.Relative.humidity,HC.Air.temperature,Battery,VPD,DeltaT,U.sonic.wind.speed,U.sonic.wind.dir,HC.Serial.Number,Sunshine.duration,U.sonic..wind.hardware.version,U.sonic..wind.firmware.version,U.sonic..wind.identifier.LSB,U.sonic..wind.identifier.middle,U.sonic..wind.identifier.MSB,EAG.Soil.moisture,Volumetric.Ionic.Content,Soil.temperature,KZ.Solar.radiation,Air.pressure,Drybulb.temperature
2024-12-14T11:00:00Z,kef,0.2,10319,546,5.1,9.75,62.26,18.316666666666666,6878,7.1,4,3.3,273,20734861,60,300,145,540292675,1261522965,2687065,52.18,2309.27,15.6,NA,NA,NA
2024-12-14T12:00:00Z,kef,0,10305,491,5.1,8.6,53.486666666666665,18.726666666666667,6875,9.65,5.333333333333333,3.4000000000000004,267,20734861,60,300,145,540292675,1261522965,2687065,52.17,2304.3273,15.6,NA,NA,NA
2024-12-14T13:00:00Z,kef,0,10242,391,5.5,10.55,62.53333333333333,18.603333333333335,6870,7.4,4.333333333333333,3.7,268,20734861,60,300,145,540292675,1261522965,2687065,52.17,2300.641,15.6,NA,NA,NA
2024-12-14T14:00:00Z,kef,0,9979,227,6,11.9,71.98666666666666,17.636666666666667,6870,5.050000000000001,3,4.050000000000001,250,20734861,60,300,145,540292675,1261522965,2687065,52.18,2296.1659,15.6,NA,NA,NA
2024-12-14T15:00:00Z,kef,0,2593,84,5.2,12.35,77.99666666666667,16.456666666666667,6824,3.6999999999999997,2.3333333333333335,3.3,250,20734861,15,300,145,540292675,1261522965,2687065,52.18,2292.1201,15.566666666666666,NA,NA,NA
2024-12-14T16:00:00Z,kef,0,0,0,3.4,12.95,85.76,15.43,6647,2.25,1.3333333333333333,2.05,243,20734861,0,300,145,540292675,1261522965,2687065,52.19,2290.9093,15.566666666666666,NA,NA,NA
2024-12-14T17:00:00Z,kef,0,0,0,3.1,12.5,88.55333333333333,14.7,6588,1.7000000000000002,1,2,239,20734861,0,300,145,540292675,1261522965,2687065,52.2,2289.295,15.533333333333333,NA,NA,NA
2024-12-14T18:00:00Z,kef,0,0,0,4.2,11.95,86.17333333333333,14.42,6576,2.15,1,2.1500000000000004,259,20734861,0,300,145,540292675,1261522965,2687065,52.2,2290.5078,15.533333333333333,NA,NA,NA
2024-12-14T19:00:00Z,kef,0,0,0,2.8,12.1,88.62333333333333,14.076666666666666,6568,1.5,1,1.5,202,20734861,0,300,145,540292675,1261522965,2687065,52.19,2291.7165,15.5,NA,NA,NA
2024-12-14T20:00:00Z,kef,0,0,0,1.6,12.15,90.72,13.776666666666667,6571,1.25,1,0.85,168,20734861,0,300,145,540292675,1261522965,2687065,52.2,2294.138,15.466666666666667,NA,NA,NA
